40533|GD|General Dynamics Corp|20190213|NYSE|3730|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/GD_0000040533_10K_20181231_Item1A_excerpt.txt
1524472|XYL|Xylem Inc|20190222|NYSE|3561|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/XYL_0001524472_10K_20181231_Item1A_excerpt.txt
20286|CINF|Cincinnati Financial Corp|20190222|NASDAQ|6331|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/CINF_0000020286_10K_20181231_Item1A_excerpt.txt
78239|PVH|PVH Corp|20190329|NYSE|2320|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/PVH_0000078239_10K_20190203_Item1A_excerpt.txt
4281|ARNC|Alcoa Inc|20190221|NYSE|3350|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/ARNC_0000004281_10K_20181231_Item1A_excerpt.txt
1567892|MNK|Mallinckrodt PLC|20190226|NYSE|2834|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/MNK_0001567892_10K_20181228_Item1A_excerpt.txt
48465|HRL|Hormel Foods Corp|20191206|NYSE|2011|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/HRL_0000048465_10K_20191027_Item1A_excerpt.txt
1012100|SEE|SEALED AIR CORP/DE|20190219|None|None|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/SEE_0001012100_10K_20181231_Item1A_excerpt.txt
936468|LMT|Lockheed Martin Corp|20190208|NYSE|3760|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/LMT_0000936468_10K_20181231_Item1A_excerpt.txt
1060391|RSG|Republic Services Inc|20190208|NYSE|4953|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/RSG_0001060391_10K_20181231_Item1A_excerpt.txt
1043604|JNPR|Juniper Networks Inc|20190222|NYSE|3576|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/JNPR_0001043604_10K_20181231_Item1A_excerpt.txt
1489393|LYB|Lyondellbasell Industries NV|20190221|NYSE|2860|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/LYB_0001489393_10K_20181231_Item1A_excerpt.txt
773840|HON|Honeywell International Inc|20190208|NYSE|3714|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/HON_0000773840_10K_20181231_Item1A_excerpt.txt
75488|PCG|Pacific Gas & Electric Co|20190228|NYSE|4931|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/PCG_0000075488_10K_20181231_Item1A_excerpt.txt
1618921|WBA|Walgreens Boots Alliance, Inc.|20191028|None|None|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/WBA_0001618921_10K_20190831_Item1A_excerpt.txt
8818|AVY|Avery Dennison Corp|20190227|NYSE|2670|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/AVY_0000008818_10K_20181229_Item1A_excerpt.txt
794323|LVLT|Level 3 Communications Inc|20190319|NYSE|4813|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/LVLT_0000794323_10K_20181231_Item1A_excerpt.txt
1361658|WYN|Wyndham Worldwide Corp|20190226|NYSE|7011|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/WYN_0001361658_10K_20181231_Item1A_excerpt.txt
1136869|ZBH|Zimmer Holdings Inc|20190226|NYSE|3842|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/ZBH_0001136869_10K_20181231_Item1A_excerpt.txt
27904|DAL|Delta Air Lines Inc|20190215|NYSE|4512|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/DAL_0000027904_10K_20181231_Item1A_excerpt.txt
313927|CHD|Church & Dwight Co Inc|20190221|NYSE|2840|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/CHD_0000313927_10K_20181231_Item1A_excerpt.txt
1623613|MYL|Mylan N.V.|20190227|None|None|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/MYL_0001623613_10K_20181231_Item1A_excerpt.txt
899051|ALL|Allstate Corp|20190215|NYSE|6331|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/ALL_0000899051_10K_20181231_Item1A_excerpt.txt
858877|CSCO|Cisco Systems Inc|20190905|NASDAQ|3576|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/CSCO_0000858877_10K_20190727_Item1A_excerpt.txt
6951|AMAT|Applied Materials Inc|20191213|NASDAQ|3674|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/AMAT_0000006951_10K_20191027_Item1A_excerpt.txt
18654|AEE|Ameren Illinois Co|20190226||4931|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/AEE_0000018654_10K_20181231_Item1A_excerpt.txt
56873|KR|Kroger Co|20190402|NYSE|5411|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/KR_0000056873_10K_20190202_Item1A_excerpt.txt
77360|PNR|Pentair LTD|20190219|NYSE|3550|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/PNR_0000077360_10K_20181231_Item1A_excerpt.txt
1466258|IR|Ingersoll-rand PLC|20190212|NYSE|3822|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/IR_0001466258_10K_20181231_Item1A_excerpt.txt
310158|MRK|Merck & Co Inc|20190227|NYSE|2834|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/MRK_0000310158_10K_20181231_Item1A_excerpt.txt
1359841|HBI|Hanesbrands Inc|20190211|NYSE|5600|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/HBI_0001359841_10K_20181229_Item1A_excerpt.txt
350698|AN|Autonation Inc|20190222|NYSE|5500|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/AN_0000350698_10K_20181231_Item1A_excerpt.txt
79879|PPG|PPG Industries Inc|20190221|NYSE|2851|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/PPG_0000079879_10K_20181231_Item1A_excerpt.txt
68505|MSI|Motorola Solutions Inc|20190215|NYSE|3663|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/MSI_0000068505_10K_20181231_Item1A_excerpt.txt
723254|CTAS|Cintas Corp|20190726|NASDAQ|2320|/home/koshy/Desktop/Capstone/fintech/data/SEC/batch_0001/001/CTAS_0000723254_10K_20190531_Item1A_excerpt.txt
